label,youtube_id,time_start,time_end,split
tap dancing,GcluCxjiSjI,30,40,train
tap dancing,5FuYP_l6J-s,4,14,train
tap dancing,5AAYAhVcZNM,61,71,train
tap dancing,fPZb1IB-U_k,19,29,train
tap dancing,k9edXWpg64E,38,48,train
tap dancing,BN-dhgHRkKw,94,104,train
tap dancing,KQKKjtxBRCQ,5,15,train
tap dancing,5rXH7RqzzYg,6,16,train
tap dancing,K0wK0qgkgA0,25,35,train
tap dancing,JjSBGnawuMg,21,31,train
tap dancing,nvsZZUh4ggk,0,10,train
tap dancing,OAfSdKJ8Uos,118,128,train
tap dancing,p-bBaR6M5Lg,123,133,train
tap dancing,Zb5lAOoIlqA,34,44,train
tap dancing,aomSpODrRpI,192,202,train
tap dancing,CHw9K88zD_0,1,11,train
tap dancing,3hII9QR7sag,51,61,train
tap dancing,K92eFkVaqL0,63,73,train
tap dancing,y5ReZFmEal0,23,33,train
tap dancing,YCIFZdQwT1s,55,65,train
tap dancing,6KcwOQFlHh4,7,17,train
tap dancing,Ffw4rjR1sFE,3,13,train
tap dancing,EgM_PTRnV2k,5,15,train
tap dancing,gz89DCRxaZQ,52,62,train
tap dancing,XX5A2I5M4Ms,188,198,train
tap dancing,BheDJtlAYpA,0,10,train
tap dancing,Bo5z00aM9cc,196,206,train
tap dancing,dHxaqXFQ2q4,51,61,train
tap dancing,QaPhizbkvQ4,78,88,train
tap dancing,iT088BHtz5Y,15,25,train
tap dancing,jzai4QkJ-_I,89,99,train
tap dancing,M9OXpD83C4s,14,24,train
tap dancing,JszusEtKGlw,142,152,train
tap dancing,3gaE6kCFXMg,180,190,train
tap dancing,beOyAgBKKI8,87,97,train
tap dancing,AYBWxLkoYrQ,145,155,train
tap dancing,I9kiqd38kvQ,172,182,train
tap dancing,Mi66cI5AnAE,7,17,train
tap dancing,iD4FQuV93OE,10,20,train
tap dancing,q10qIqt_hCU,4,14,train
tap dancing,2F0szQFICic,31,41,train
breakdancing,hET9E2dC_r0,113,123,train
breakdancing,03LexUfuweY,18,28,train
breakdancing,4FwOffyb5Q8,226,236,train
breakdancing,YvTZaD1jrz8,7,17,train
breakdancing,etjzeAEjWgQ,171,181,train
breakdancing,DHxhaxkVFPg,4,14,train
breakdancing,Iqzrdnc9-Y4,47,57,train
breakdancing,7ldnXtzyu7A,29,39,train
breakdancing,N06SG86dnR8,0,10,train
breakdancing,T0ifzqYQ6yA,5,15,train
breakdancing,L6t-6vatDI0,57,67,train
breakdancing,Nh1cXDw1tVg,35,45,train
breakdancing,bVuKyiZeDmQ,1,11,train
breakdancing,IAj1CuCnU7I,21,31,train
breakdancing,FIXlZOvg-mo,10,20,train
breakdancing,M90esFryTAI,98,108,train
breakdancing,8KB7Y262bnE,4,14,train
breakdancing,eDMv3IHGpnA,130,140,train
breakdancing,I6H9K2hB1YE,15,25,train
breakdancing,Al8E44NcB08,166,176,train
breakdancing,6ndeDpVf0s8,1,11,train
breakdancing,fvt7pPoWWnw,39,49,train
breakdancing,S6oaDdsOVX0,36,46,train
breakdancing,i18xVQ3ajVQ,145,155,train
breakdancing,LCmshdKGono,53,63,train
breakdancing,OETUdxEamNI,99,109,train
breakdancing,K_83m1FaWz4,74,84,train
breakdancing,34pZhaf4Uj4,0,10,train
breakdancing,ffFSQwgnEXQ,9,19,train
breakdancing,45PO7whfm0A,155,165,train
breakdancing,H6m_3zh-F7k,98,108,train
breakdancing,448uFpM9PoA,15,25,train
breakdancing,T4kNIYiXuz4,41,51,train
breakdancing,vpWkTE9AbAE,24,34,train
breakdancing,QE6FWoRdi3w,121,131,train
breakdancing,Y8YS0-91hzw,5,15,train
breakdancing,4_FcdGppSKs,24,34,train
breakdancing,404_0x0fP78,0,10,train
breakdancing,e6VWzVdwU58,0,10,train
breakdancing,S79VsAuWGKs,34,44,train
breakdancing,_IvgQX_FrPU,6,16,train
belly dancing,9pvxxhwlpXs,248,258,train
belly dancing,1glQafnTBQs,119,129,train
belly dancing,IVpIz-XNEy4,0,10,train
belly dancing,RSMTMcyCatI,60,70,train
belly dancing,7BZtPcFkdQY,35,45,train
belly dancing,mm5S2ftbb-k,32,42,train
belly dancing,6zGBNgtKyCE,4,14,train
belly dancing,P9mOEmlCEXY,62,72,train
belly dancing,giMVIb0-hYQ,136,146,train
belly dancing,0EkDMT2U9W4,44,54,train
belly dancing,F0qybfcqzhY,147,157,train
belly dancing,Cv81tIbINrA,55,65,train
belly dancing,U7qIS5cRhok,579,589,train
belly dancing,JxuDXgesf_E,230,240,train
belly dancing,py2YPygRCwA,180,190,train
belly dancing,ZHrD0K0ZhUI,0,10,train
belly dancing,7CQP7ccSy5c,643,653,train
belly dancing,WCfW0yWeg5M,43,53,train
belly dancing,n24zV9OtorU,257,267,train
belly dancing,sFWnb5LJEbw,0,10,train
belly dancing,BTyk_sviupY,102,112,train
belly dancing,5ijnF9z_0aI,31,41,train
belly dancing,hs3c2fNHucs,130,140,train
belly dancing,ZStaE-Dd1BI,58,68,train
belly dancing,b0tigV6LTi0,39,49,train
belly dancing,K8qNvSQR0xo,187,197,train
belly dancing,HhH2owTEibI,377,387,train
belly dancing,rkwb3eGrM08,39,49,train
belly dancing,onvcGF-WLwM,118,128,train
belly dancing,UpNvGpDvDiA,17,27,train
belly dancing,km_gJvXe1Fg,64,74,train
